# Βασικό αρχείο ονομαστικών εορτών και επετείων
# Είναι παρμένο σχεδόν αυτούσιο από την wind*ze έκδοση
# του "Εορτολογίου" του Χάρη Κακουλίδη (www.harka.com).

+0 Πασχάλης
+0 Πασχαλίνα
+0 Αναστάσιος
+0 Αναστασία
+0 Λαμπρινή
+0 Λάμπρος
+50 Τριάδα
+50 Κορίνα
+49 Πεντηκοστή
+39 Νεφέλη
+4 Γεώργιος
+4 Γεωργία
+5 Ζωή
+5 Πηγή
+7 Θωμάς
+7 Θωμαή
-8 Λάζαρος
-7 Βάιος
22/12 Αναστασία
21/12 Θεμιστοκλής
24/12 Ευγενία
24/12 Ευγένιος
25/12 Χρήστος
25/12 Χρηστίνα
25/12 Μανώλης
25/12 Εμμανουήλ
25/12 Εμανουέλλα
25/12 Χρύσα
26/12 Δαβίδ
27/12 Στέφανος
27/12 Γιάννης
27/12 Γιάννα
28/12 Δόμνα
